name,gu,addr,phone,위도_user,경도_user
동명근린공원,강동구,서울특별시 강동구 고덕2동 229,02-3425-6444,37.563878,127.1631678
마로니에공원,종로구,서울특별시 종로구 대학로8길 1,02-2148-4158,37.580938,127.0024386
자매근린공원,영등포구,서울특별시 영등포구 의사당대로 166 (우) 07324,02-2670-3758,37.5175296,126.9278897
장지근린공원,송파구,서울특별시 송파구 장지동 산 11번지,02-400-0978,37.4899872,127.1362761
명일근린공원,강동구,서울특별시 강동구 상일동 135,02-3425-6444,37.5515294,127.1642572
방화근린공원,강서구,서울특별시 강서구 금낭화로 176(방화공원),02-2600-4186,37.5776476,126.8092911
아시아근린공원,송파구,서울특별시 송파구 올림픽로 44 (잠실동),02-412-0270,37.508561,127.0948204
배봉산근린공원,동대문구,서울특별시 동대문구 한천로43길 12-14(배봉산공원) ,02-2127-4398,37.5806918,127.064359
안산도시자연공원,서대문구,서울특별시 서대문구 홍제동 산33-98,02-330-1958,37.5814867,126.9454061
염창근린공원,강서구,서울특별시 강서구 염창동 산24-1,02-2600-4186,37.5579045,126.8688372
백련근린공원,서대문구,서울특별시 서대문구 통일로 507-22(백련공원) ,02-330-1776,37.579837,126.9514843
오금근린공원,송파구,서울특별시 송파구 오금로 363 오금근린공원 ,02-400-0978,37.50042200000001,127.1333182
오동근린공원,강북구,서울특별시 강북구 번동 산20-1,02-901-6923,37.6294729,127.0334011
봉산도시자연공원,은평구,서울특별시 은평구 구산동 산61,02-351-8003,37.6067757,126.9066478
온수도시자연공원,구로구,서울특별시 구로구 개봉동 산2-60,02-860-2396,37.5009034,126.8381598
봉은공원,강남구,서울특별시 강남구 삼성동 75,02-2104-1902,37.5139111,127.0554918
올림픽공원,송파구,서울특별시 송파구 올림픽로 424 (방이동),02-410-1114,37.5156746,127.1253915
와룡근린공원,종로구,서울특별시 종로구 와룡공원길 192 (우) 03063,02-2148-4150,37.5893435,126.9892831
봉화산근린공원,중랑구,서울특별시 중랑구 묵동 산46-1,02-435-0069,37.608501,127.084105
북악산도시자연공원,종로구,서울특별시 종로구 부암동 산2-6,02-2148-2843,37.5996509,126.9737405
북한산국립공원,강북구,서울특별시 종로구 은평구 서대문구 성북구 강북구 도봉구 일대 경기도 의정부 양주군 고양시 일대,02-2148-2834,37.66032999999999,127.0424606
외국인묘지공원,마포구,서울특별시 마포구 양화진길 46(외국인묘지공원),02-3153-9554,37.5465196,126.910888
불광근린공원,은평구,서울특별시 은평구 불광동 산33-1,02-351-8004,37.62109969999999,126.9308982
불암산도시자연공원,노원구,서울특별시 노원구 한글비석로12길 51-33(불암산공원) ,02-2116-3943,37.6550153,127.0818067
용마폭포공원,중랑구,서울특별시 중랑구 면목동 산1-4 ,02-2094-2965,37.573234,127.0912609
사육신공원,동작구,서울특별시 동작구 노량진로 191,02-820-9844,37.51383939999999,126.9481858
용왕산근린공원,양천구,서울특별시 양천구 목동 199-51,02-2620-3574,37.5424722,126.8766954
사직근린공원,종로구,서울특별시 종로구 사직로9길 5,02-2148-2834,37.5759361,126.967264
우장산근린공원,강서구,서울특별시 강서구 내발산동 산4-5,02-2600-4185,37.5549434,126.8445806
삼일근린공원,동작구,서울특별시 동작구 사당동 산24-17,02-820-9845,37.48586,126.9745425
삼청근린공원,종로구,서울특별시 종로구 북촌로 134-1 (우) 03050,02-2148-4150,37.5927087,126.9817876
인왕산도시자연공원,종로구,서울특별시 종로구 옥인동 산 3-1 ,02-2148-2834,37.5845052,126.9638774
상도근린공원,동작구,서울특별시 동작구 성대로6사길 27-6(상도공원) ,02-820-1396,37.4932161,126.9384066
일자산도시자연공원,강동구,서울특별시 강동구 동남로 660(일자산공원),02-3425-6443,37.5418674,127.1528053
쌍문근린공원,도봉구,서울특별시 도봉구 쌍문동 산80,02-2091-3754,37.6536237,127.0288334
수락산도시자연공원,노원구,서울특별시 노원구 상계동 산3-1,02-2116-3966 ,37.6920658,127.0653649
송파나루근린공원(석촌호수),송파구,서울특별시 송파구 잠실로 148 (잠실동) ,02-400-3595,37.5124523,127.0960483
선유도근린공원,영등포구,서울특별시 영등포구 선유로 343 (당산동 1) 선유도공원관리사무소,02-2631-9368,37.5425312,126.9019908
손기정체육공원,중구,서울특별시 중구 손기정로 101 ,02-3396-5894,37.5555781,126.9647417
성북근린공원,성북구,서울특별시 성북구 돈암동 616-1055,02-2241-3683,37.5950272,127.0081645
봉제산공원,강서구,서울특별시 강서구 화곡동 산41-6,02-2600-4184,37.5423536,126.8520012
서울창포원,도봉구,서울특별시 도봉구 마들로 916(서울창포원) ,02-954-0031,37.6893333,127.0481194
북서울꿈의숲,강북구,서울특별시 강북구 월계로 173,02-2289-4000~5,37.6217709,127.0411741
서서울호수공원,양천구,서울특별시 양천구 남부순환로64길 20 (신월동),02-2604-3004 ,37.527233,126.8296294
중랑캠핑숲,중랑구,서울특별시 중랑구 송림길 160(중랑캠핑숲)/중랑구 망우동 74(청소년체험의숲),02-434-4371(중랑캠핑숲)/02-432-2567(청소년체험의숲),37.6066977,127.1101168
솔밭근린공원,강북구,서울특별시 강북구 우이동 80번지 일대,02-901-6939,37.6529597,127.011901
금천체육공원(관악산),금천구,서울특별시 금천구 독산동 산118-4(금천체육공원),02-2627-1664 ,37.4683789,126.9085069
금천폭포근린공원,금천구,서울특별시 금천구 시흥대로38길 61(시흥동 937-2),02-2627-1652 ~ 7,37.4466287,126.9041882
만수천공원(관악산),금천구,서울특별시 금천구 독산동 산8 일대,02-2627-1662~6,37.4744736,126.9091728
발바닥공원,도봉구,서울특별시 도봉구 시루봉로6길 33,02-2091-3772,37.6597775,127.0311666
월천근린공원,도봉구,서울특별시 도봉구 창동 28번지,02-2091-3756,37.647567,127.0508835
용두근린공원,동대문구,서울특별시 동대문구 용두동 34-1번지 일대,02-2127-4772,37.5732217,127.0400912
상암근린공원,마포구,서울특별시 마포구 상암동 1761,02-3153-9553,37.5774937,126.8851245
와우근린공원,마포구,서울특별시 마포구 창전동 3-193번지 일대(홍익대 뒷산),02-3153-9553,37.55295479999999,126.92967
금호근린공원,성동구,서울특별시 성동구 장터1길 18,02-2286-5657,37.5494779,127.0190581
달맞이근린공원,성동구,서울특별시 성동구 옥수동 산1-1,02-2286-5657,37.5437661,127.0202442
문정근린공원,송파구,서울특별시 송파구 문정동 18-4,02-400-0978,37.4868213,127.1290972
문화예술공원,서초구,서울특별시 서초구 바우뫼로12길 40 (양재동),02-2155-8601,37.4682645,127.0311083
세종로공원,종로구,서울특별시 종로구 세종대로 189 (우) 03172,02-2148-2843 ,37.5727221,126.9754023
샘말공원(관악산),관악구,서울특별시 관악구 대학동 산63-1일대 샘말공원,02-879-6523,37.4643276,126.9384176
초안산생태공원,도봉구,서울특별시 도봉구 창동 산24,02-2091-3754,37.6363675,127.044499
푸른수목원,구로구,서울특별시 구로구 연동로 240(항동81-1) 푸른수목원관리사무소,02-2686-3200,37.4836544,126.8242477
서오능도시자연공원,은평구,서울특별시 은평구 구파발동 갈현동 진관내동,02-351-8003,37.621541,126.913578
청계산도시자연공원,서초구,서울특별시 서초구 원지동 산 33,02-2155-6870,37.442594,127.0542029
개화근린공원,강서구,서울특별시 강서구 개화동 산17,02-2600-4183,37.5642021,126.8070428
아차산생태공원,광진구,서울특별시 광진구 광장동 370,02-450-1192,37.5521028,127.0999756
인능산도시자연공원,서초구,서울특별시 서초구 내곡동 산12-404,02-2155-6873,37.4485151,127.0665799
구룡산,서초구,서울특별시 서초구 염곡동 산25-1,02-2155-6869,37.4667358,127.0572648
우면산도시자연공원,서초구,서울특별시 서초구 우면동 산35-1,02-2155-6883,37.4701212,127.0092058
향림근린공원,은평구,서울특별시 은평구 진관동 산55,02-351-8002,37.6294712,126.9218855
신사근린공원,은평구,서울특별시 은평구 신사동 산80-4,02-351-8004,37.5919195,126.9094448
문화역 서울284,중구,서울특별시 중구 통일로 1 서울역,02-3407-3500,37.5559588,126.9715835
광평근린공원,강남구,서울특별시 강남구 수서동 산10-1,02-3423-6243,37.4881266,127.0932256
청담근린공원,강남구,서울특별시 강남구 청담동 66,02-3423-6244,37.5213572,127.0517886
허브천문공원,강동구,서울특별시 강동구 둔촌동 산94,02-3425-6454,37.5282539,127.1447139
연신내물빛공원,은평구,서울특별시 은평구 통일로 849,02-351-8012,37.6189322,126.9208532
나들이근린공원,중랑구,서울특별시 중구 망우동 산 30-7 일대,02-435-7168,37.6069709,127.1141652
숭인근린공원,종로구,서울특별시 종로구 숭인동 58,02-2148-4152,37.5760551,127.0175478
서일대뒷산공원,중랑구,서울특별시 중랑구 면목동 산19,02-2094-2363,37.5875043,127.0987271
용마도시자연공원(사가정공원),중랑구,서울특별시 중랑구 면목7동 산50 ,02-2094-2993,37.5781513,127.0891705
문화비축기지,마포구,서울특별시 마포구 증산로 87,02-376-8410,37.5713027,126.8939106
경춘선숲길,노원구,서울특별시 노원구 공릉2동 산 82-2,02-2289-4012,37.620368,127.083921
율현공원,강남구,서울특별시 강남구 율현동 밤고개로24길(율현동 56),02-459-9452,37.4712559,127.1045786
서울로7017,중구,서울특별시 중구 청파로 432,02-313-7017,37.5578391,126.9697808
