영업상태코드,영업상태명,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,업태구분명,좌표정보(X),좌표정보(Y),영업장주변구분명,전화번호,주소,위도_user,경도_user
1,영업/정상,142-861,서울특별시 강북구 번동 165-1,서울특별시 강북구 한천로109길 47 (번동),1226.0,세븐일레븐(번동3호점),편의점,203617.4932,458359.151,,02-987-9650,서울특별시 강북구 번동 165-1,37.6275754,127.041767
1,영업/정상,120-848,서울특별시 서대문구 홍은동 427-3 동욱빌딩,"서울특별시 서대문구 연희로 276, 동욱빌딩 1층 (홍은동)",3653.0,이마트24 동신병원점,편의점,194331.3732,453267.7566,,,서울특별시 서대문구 홍은동 427-3 동욱빌딩,37.5816919,126.9366122
1,영업/정상,138-840,서울특별시 송파구 삼전동 125-9,"서울특별시 송파구 백제고분로31길 26, 1층 (삼전동)",5602.0,세븐일레븐 삼전일등점,편의점,208397.1279,444748.7908,,02-3284-8112,서울특별시 송파구 삼전동 125-9,37.5049169,127.0957569
1,영업/정상,150-106,서울특별시 영등포구 양평동6가 100 동양아파트,"서울특별시 영등포구 양평로30가길 19, 동양아파트 204동 107,108호 (양평동6가)",7201.0,GS25양평본점,편의점,190191.6383,448896.7272,,,서울특별시 영등포구 양평동6가 100 동양아파트,37.5422744,126.8898042
1,영업/정상,150-032,서울특별시 영등포구 영등포동2가 139,"서울특별시 영등포구 버드나루로 5, 리미티오148 1층 103호, 104호 (영등포동2가)",7253.0,GS25 뉴 영등포샛강,편의점,192175.5176,446391.9613,,,서울특별시 영등포구 영등포동2가 139,37.5192745,126.9121557
1,영업/정상,143-823,서울특별시 광진구 구의동 222-1,"서울특별시 광진구 구의로 39, 1층 (구의동)",5041.0,세븐일레븐 구의중앙로점,편의점,207860.0504,448800.8054,,,서울특별시 광진구 구의동 222-1,37.54143,127.0897257
1,영업/정상,130-090,서울특별시 동대문구 휘경동 380,"서울특별시 동대문구 망우로 46, 402동 1층 1213호~1215호 (휘경동)",2496.0,지에스25 회기하트리움점,편의점,,,,,서울특별시 동대문구 휘경동 380,37.5882047,127.0645152
1,영업/정상,130-843,서울특별시 동대문구 장안동 403-1,"서울특별시 동대문구 천호대로77길 84, 1층 (장안동)",2635.0,세븐일레븐 장안3점,편의점,205523.3864,451458.6886,,02-3284-8112,서울특별시 동대문구 장안동 403-1,37.5653941,127.0633059
1,영업/정상,136-848,서울특별시 성북구 정릉동 239 정릉풍림아이원,"서울특별시 성북구 솔샘로 116, 정릉풍림아이원 제2상가동 102호 (정릉동)",2712.0,지에스25정릉풍림점,편의점,200575.4205,457360.6174,,,서울특별시 성북구 정릉동 239 정릉풍림아이원,37.6189905,127.0071673
1,영업/정상,137-180,"서울특별시 서초구 내곡동 384 서초포레스타2단지 상가동 1층 105, 106호","서울특별시 서초구 헌릉로8길 45, 상가동 1층 105, 106호 (내곡동, 서초포레스타2단지)",6800.0,GS25 서초포레점,편의점,205329.5611,439241.1182,,,"서울특별시 서초구 내곡동 384 서초포레스타2단지 상가동 1층 105, 106호",37.455484,127.0609785
1,영업/정상,136-036,서울특별시 성북구 동소문동6가 117-2 보미리즌빌,"서울특별시 성북구 동소문로 89, 보미리즌빌 1층 102호 (동소문동6가)",2830.0,씨유 성신리더스점,편의점,201294.8591,454483.5886,,,서울특별시 성북구 동소문동6가 117-2 보미리즌빌,37.5926186,127.0154363
1,영업/정상,157-930,서울특별시 강서구 등촌동 705-1 이화유치원 1층 일부호,"서울특별시 강서구 화곡로63가길 26, 이화유치원 1층 일부호 (등촌동)",7588.0,세븐일레븐 강서등촌카페점,일반조리판매,186496.48,450842.77,,,서울특별시 강서구 등촌동 705-1 이화유치원 1층 일부호,37.5597611,126.8479567
1,영업/정상,136-071,서울특별시 성북구 안암동1가 198 1층,"서울특별시 성북구 고려대로7다길 39-12, 1층 (안암동1가)",2850.0,지에스25(GS25) 안암래미안점,편의점,201894.298,454073.5977,,,서울특별시 성북구 안암동1가 198 1층,37.5889684,127.0222357
1,영업/정상,120-830,서울특별시 서대문구 연희동 136-7 아농스오피스텔 1층 102호,"서울특별시 서대문구 연희로 102, 1층 102호 (연희동, 아농스오피스텔)",3724.0,씨유 연희로점,편의점,193867.1403,451635.2412,,,서울특별시 서대문구 연희동 136-7 아농스오피스텔 1층 102호,37.5669705,126.9313739
1,영업/정상,137-830,서울특별시 서초구 방배동 795-1 삼호회관,"서울특별시 서초구 방배로37길 11, 1층 (방배동)",6561.0,세븐일레븐 방배드림점,편의점,198970.448,443479.8949,,,서울특별시 서초구 방배동 795-1 삼호회관,37.4934746,126.9891307
1,영업/정상,121-869,서울특별시 마포구 연남동 565-1 청한빌,"서울특별시 마포구 연남로3길 61, 청한빌 1층 (연남동)",3991.0,지에스25뉴연남제일점,편의점,192833.3526,450843.3699,,,서울특별시 마포구 연남동 565-1 청한빌,37.5598185,126.9196507
1,영업/정상,132-858,서울특별시 도봉구 쌍문동 26-62,"서울특별시 도봉구 도봉로139길 94, 1층 (쌍문동)",1393.0,세븐일레븐 쌍문방학천점,편의점,203149.8408,462020.2956,,,서울특별시 도봉구 쌍문동 26-62,37.6605632,127.0364848
1,영업/정상,140-861,서울특별시 용산구 이태원동 368-4,"서울특별시 용산구 녹사평대로40나길 53, 1층 101호 (이태원동)",4345.0,씨유 이태원햇살점,편의점,198934.3754,448292.621,,,서울특별시 용산구 이태원동 368-4,37.5368836,126.9887314
1,영업/정상,138-751,서울특별시 송파구 가락동 95-1 가락금호아파트,"서울특별시 송파구 송파대로32길 15, 상가동 102호 (가락동, 가락금호아파트)",5710.0,GS25 가락금호점,편의점,210220.2481,443801.4034,,,서울특별시 송파구 가락동 95-1 가락금호아파트,37.4967125,127.1160969
1,영업/정상,143-814,서울특별시 광진구 광장동 457-1 광희현대타워 101호,"서울특별시 광진구 아차산로70길 26, 1층 101호 (광장동, 광희현대타워)",4974.0,씨유 광진광남점,편의점,208873.2956,448861.3695,,,서울특별시 광진구 광장동 457-1 광희현대타워 101호,37.54196659999999,127.1011914
1,영업/정상,143-831,서울특별시 광진구 구의동 599-8 아원빌딩,"서울특별시 광진구 구의강변로 22, 아원빌딩 1층 (구의동)",5116.0,지에스25 구의한양점,편의점,208051.9537,447854.806,,,서울특별시 광진구 구의동 599-8 아원빌딩,37.532905,127.0918869
1,영업/정상,150-732,서울특별시 영등포구 여의도동 61-4 콤비빌딩,"서울특별시 영등포구 63로 32, 콤비빌딩 1층 102호 (여의도동)",7345.0,이마트24 여의콤비점,편의점,194530.5354,446306.7872,,,서울특별시 영등포구 여의도동 61-4 콤비빌딩,37.5189566,126.9390302
1,영업/정상,131-814,서울특별시 중랑구 면목동 64-1,"서울특별시 중랑구 용마산로81길 13, 1층 (면목동)",2208.0,지에스25(GS25)면목황금점,편의점,208194.7822,453653.6152,,,서울특별시 중랑구 면목동 64-1,37.5851504,127.093567
1,영업/정상,157-840,"서울특별시 강서구 등촌동 649-14 우림보보카운티뷰오피스텔 103-2,104-1호","서울특별시 강서구 공항대로 509, 우림보보카운티뷰오피스텔 1층 103-2,104-1호 (등촌동)",7564.0,씨유 등촌보보카운티점,편의점,187851.4586,450002.6578,,,"서울특별시 강서구 등촌동 649-14 우림보보카운티뷰오피스텔 103-2,104-1호",37.5519512,126.8635645
1,영업/정상,135-846,서울특별시 강남구 대치동 946-0 지상1층,"서울특별시 강남구 테헤란로 532 (대치동,지상1층)",6181.0,세븐일레븐 삼성역점,편의점,205436.7054,445112.2419,,,서울특별시 강남구 대치동 946-0 지상1층,37.5082136,127.0622783
1,영업/정상,130-820,서울특별시 동대문구 용두동 105-19,"서울특별시 동대문구 천호대로17길 64, 1층 (용두동)",2585.0,세븐일레븐 용두중앙점,편의점,202791.9044,452735.2533,,02-3284-8112,서울특별시 동대문구 용두동 105-19,37.57690789999999,127.0323937
1,영업/정상,131-862,서울특별시 중랑구 상봉동 300-2,"서울특별시 중랑구 상봉중앙로 62, 1층 (상봉동)",2074.0,씨유 상봉무지개점,편의점,207646.1403,455607.2122,,,서울특별시 중랑구 상봉동 300-2,37.6027566,127.0873757
1,영업/정상,138-829,서울특별시 송파구 방이동 89 올림픽선수기자촌아파트,"서울특별시 송파구 양재대로 1218, 상가동 101,102호 (방이동, 올림픽선수기자촌아파트)",5649.0,지에스(GS)25 송파오륜점,편의점,211986.2972,446156.5298,,,서울특별시 송파구 방이동 89 올림픽선수기자촌아파트,37.5152827,127.1341064
1,영업/정상,152-764,서울특별시 구로구 구로동 1265 구로두산아파트,"서울특별시 구로구 도림로 59, 상가301동 1층 103호 (구로동, 구로두산아파트)",8313.0,씨유 구로두산점,편의점,190136.4837,443021.7442,,,서울특별시 구로구 구로동 1265 구로두산아파트,37.4893405,126.8892594
1,영업/정상,143-917,서울특별시 광진구 화양동 49-1,"서울특별시 광진구 아차산로25길 7, 1층 (화양동)",5020.0,지에스25 건대제일점,일반조리판매,205812.3824,448844.5783,,02-465-6042,서울특별시 광진구 화양동 49-1,37.5418395,127.0665565
1,영업/정상,134800,서울특별시 강동구 고덕동 1-7 고덕강일지구 이주자주택,,,세븐일레븐 강동고덕비즈타운점,편의점,,,,,서울특별시 강동구 고덕동 1-7 고덕강일지구 이주자주택,37.564473,127.16159
1,영업/정상,122-891,서울특별시 은평구 신사동 338-60,"서울특별시 은평구 증산로 367-20, 1층 (신사동)",3448.0,씨유 은평증산로점,기타 휴게음식점,192144.5215,454130.3743,,,서울특별시 은평구 신사동 338-60,37.5894477,126.9118451
1,영업/정상,120-050,서울특별시 서대문구 냉천동 40-1,"서울특별시 서대문구 독립문로14길 8, 1층 (냉천동)",3745.0,씨유 서대문센트레빌점,편의점,196715.0802,451647.0007,,,서울특별시 서대문구 냉천동 40-1,37.5671008,126.963606
1,영업/정상,158-857,서울특별시 양천구 신정동 904-8,"서울특별시 양천구 신정중앙로 88, 102호 (신정동)",7945.0,세븐일레븐 목동역점,편의점,187669.8351,447141.9282,,,서울특별시 양천구 신정동 904-8,37.5264333,126.861299
1,영업/정상,135-953,서울특별시 강남구 청담동 76-15,"서울특별시 강남구 삼성로134길 8, 지상1층 (청담동)",6074.0,(주)세나코퍼레이션 씨유 청담진흥점,편의점,204378.1867,446427.5134,,,서울특별시 강남구 청담동 76-15,37.5200697,127.0503141
1,영업/정상,138-872,서울특별시 송파구 풍납동 123-34,"서울특별시 송파구 바람드리길 9, 1층 (풍납동)",5515.0,씨유 풍납백제점,편의점,210268.6157,448437.0832,,,서울특별시 송파구 풍납동 123-34,37.5381294,127.1169739
1,영업/정상,138-867,서울특별시 송파구 잠실동 340 미우빌딩,"서울특별시 송파구 백제고분로20길 13-11, 미우빌딩 1층 (잠실동)",5578.0,GS25 잠실삼전로점,편의점,207583.669,444571.4369,,,서울특별시 송파구 잠실동 340 미우빌딩,37.5060163,127.0825999
1,영업/정상,137-040,서울특별시 서초구 반포동 115-1 서래나루 한강수상택시 도선장,"서울특별시 서초구 올림픽대로 2085-18, 서래나루 한강수상택시 도선장 1층 (반포동)",6500.0,세븐일레븐 서래나루점,편의점,199361.7512,445320.89,,,서울특별시 서초구 반포동 115-1 서래나루 한강수상택시 도선장,37.5096067,126.9930696
1,영업/정상,121-818,서울특별시 마포구 동교동 170-27,"서울특별시 마포구 양화로18안길 28, 1층 (동교동)",4051.0,지에스25홍대공원점,편의점,193408.564,450520.3459,,02-332-4800,서울특별시 마포구 동교동 170-27,37.5569318,126.9261898
1,영업/정상,140-828,서울특별시 용산구 서계동 219-1 창성빌딩 1호(지상1층),"서울특별시 용산구 청파로 395 (서계동,창성빌딩 1호(지상1층))",4300.0,세븐일레븐 용산서울역점,편의점,197167.7779,450288.5618,,,서울특별시 용산구 서계동 219-1 창성빌딩 1호(지상1층),37.554863,126.9687355
1,영업/정상,140-777,서울특별시 용산구 한강로2가 424 아모레퍼시픽,"서울특별시 용산구 한강대로 100, 아모레퍼시픽 지하1층 B106-1호 (한강로2가)",4386.0,세븐일레븐 아모레퍼시픽점,편의점,197158.9236,447399.9644,,,서울특별시 용산구 한강로2가 424 아모레퍼시픽,37.5288369,126.9686467
1,영업/정상,130-827,서울특별시 동대문구 이문동 242-28 명빌딩,"서울특별시 동대문구 신이문로9길 5-2, 명빌딩 1층 (이문동)",2406.0,세븐일레븐 신이문로점,편의점,205551.3578,455664.6153,,02-3284-8112,서울특별시 동대문구 이문동 242-28 명빌딩,37.6032887,127.0636539
1,영업/정상,138-110,서울특별시 송파구 거여동 654 송파 위례 리슈빌,"서울특별시 송파구 위례송파로 124, 212동 102,103호 (거여동, 송파 위례 리슈빌)",5847.0,씨유 위례호수공원점,편의점,212897.6271,442419.2631,,,서울특별시 송파구 거여동 654 송파 위례 리슈빌,37.4838764,127.1466151
1,영업/정상,110-757,서울특별시 종로구 창신동 232 두산아파트,"서울특별시 종로구 지봉로5길 7, 상가동 지하 1층 B01, 02, 05, 06, 07, 08호 (창신동, 두산아파트)",3104.0,씨유 두산창신점,편의점,201192.5343,452436.247,,,서울특별시 종로구 창신동 232 두산아파트,37.5741734,127.0142436
1,영업/정상,138-841,서울특별시 송파구 삼전동 176 우진빌딩,"서울특별시 송파구 백제고분로32길 17, 우진빌딩 1층 (삼전동)",5586.0,이마트24 R송파하모니점,편의점,208340.6594,444283.7643,,,서울특별시 송파구 삼전동 176 우진빌딩,37.5007116,127.0950711
1,영업/정상,138-110,서울특별시 송파구 거여동 599 위례포레샤인 13단지,"서울특별시 송파구 위례서이로 25, 상가동 101,102호 (거여동, 위례포레샤인 13단지)",5791.0,지에스(GS)25 뉴위례포레점,편의점,212137.1283,442269.3962,,,서울특별시 송파구 거여동 599 위례포레샤인 13단지,37.4825363,127.1380141
1,영업/정상,153-860,서울특별시 금천구 시흥동 936-5 효림빌딩,"서울특별시 금천구 시흥대로 152, 효림빌딩 1층 (시흥동)",8649.0,씨유 박미삼거리점,편의점,191407.5008,438407.5242,,,서울특별시 금천구 시흥동 936-5 효림빌딩,37.4477791,126.9036853
1,영업/정상,150-105,서울특별시 영등포구 양평동5가 106-1 선유도 코오롱디지털타워,"서울특별시 영등포구 양평로22길 21, 선유도 코오롱디지털타워 1층 A102호, A103호 (양평동5가)",7205.0,씨유 선유도역점,편의점,190587.5679,448642.1124,,,서울특별시 영등포구 양평동5가 106-1 선유도 코오롱디지털타워,37.5399348,126.8942845
1,영업/정상,130-850,서울특별시 동대문구 전농동 60-25,"서울특별시 동대문구 전농로20길 4, 1층 (전농동)",2506.0,씨유 전농해성점,기타 휴게음식점,204984.1492,452970.3026,,,서울특별시 동대문구 전농동 60-25,37.5790166,127.0572125
1,영업/정상,134859,서울특별시 강동구 암사동 489-78 (1층),"서울특별시 강동구 구천면로47길 15 (암사동,(1층))",5265.0,미니분식,편의점,211860.9822,449623.0941,,02-481-3422,서울특별시 강동구 암사동 489-78 (1층),37.5487963,127.1350099
1,영업/정상,136-854,서울특별시 성북구 정릉동 884-1,"서울특별시 성북구 정릉로9길 26, 1층 (정릉동)",2708.0,세븐일레븐 국민대후문점,편의점,199883.8601,456384.7377,,,서울특별시 성북구 정릉동 884-1,37.6097932,126.9994723
1,영업/정상,130-812,서울특별시 동대문구 신설동 104-30,"서울특별시 동대문구 천호대로2길 23-17, 1층 (신설동)",2586.0,씨유 동대문도서관점,편의점,202145.7321,452373.5223,,,서울특별시 동대문구 신설동 104-30,37.5736504,127.0250777
1,영업/정상,136-120,서울특별시 성북구 상월곡동 26-5,서울특별시 성북구 화랑로 167 (상월곡동),2773.0,세븐일레븐 상월곡역점,편의점,204268.7419,456073.6554,,02-3284-8114,서울특별시 성북구 상월곡동 26-5,37.6069808,127.0491314
1,영업/정상,150-853,서울특별시 영등포구 신길동 457-1,"서울특별시 영등포구 여의대방로47길 17, 1층 1호 (신길동)",7358.0,씨유 영등포센터점,편의점,193031.4022,445165.4046,,,서울특별시 영등포구 신길동 457-1,37.5086814,126.9219725
1,영업/정상,143-819,서울특별시 광진구 구의동 77-1 1층,"서울특별시 광진구 천호대로132길 18, 1층 (구의동)",4992.0,씨유구의세종사이버대점,편의점,207827.1664,449755.8266,,,서울특별시 광진구 구의동 77-1 1층,37.550035,127.0893638
1,영업/정상,153-803,서울특별시 금천구 가산동 470-1,"서울특별시 금천구 가산디지털1로 204, 지상1층 104호 (가산동)",8502.0,세븐일레븐 가산반도점,편의점,189395.8921,442369.6509,,,서울특별시 금천구 가산동 470-1,37.4834569,126.8808949
1,영업/정상,134841,서울특별시 강동구 성내동 196-8번지 코오롱아파트,"서울특별시 강동구 천호대로168길 35, 코오롱아파트 1층 101,102호 (성내동)",5381.0,지에스25 성내한빛,편의점,211629.2125,448020.5438,,,서울특별시 강동구 성내동 196-8번지 코오롱아파트,37.5344026,127.1324832
1,영업/정상,142-805,서울특별시 강북구 미아동 450-64 대암빌딩 1층,"서울특별시 강북구 도봉로13길 58, 대암빌딩 1층 (미아동)",1206.0,씨유 미아동부점,편의점,202316.2191,456978.3415,,,서울특별시 강북구 미아동 450-64 대암빌딩 1층,37.6150853,127.0270189
1,영업/정상,151-892,서울특별시 관악구 신림동 1463-51,"서울특별시 관악구 신림동7길 42, 1층 (신림동)",8759.0,씨유 신림두리점,편의점,193436.0264,442562.9602,,,서울특별시 관악구 신림동 1463-51,37.4852364,126.9265723
1,영업/정상,157-807,서울특별시 강서구 가양동 1480 영보빌딩 1층 일부호,"서울특별시 강서구 양천로57길 16, 영보빌딩 1층 일부호 (가양동)",7526.0,세븐일레븐 가양역점,편의점,186897.1345,451243.1021,,,서울특별시 강서구 가양동 1480 영보빌딩 1층 일부호,37.5633738,126.8524841
1,영업/정상,130-840,서울특별시 동대문구 장안동 347-1,"서울특별시 동대문구 장한로26가길 81, 1층 (장안동)",2639.0,이마트24 장안라보니타점,편의점,206136.4121,451780.5608,,,서울특별시 동대문구 장안동 347-1,37.5682903,127.0702472
1,영업/정상,156-728,서울특별시 동작구 신대방동 395-66 보라매삼성쉐르빌,"서울특별시 동작구 보라매로5길 43, 1층 101호 (신대방동, 보라매삼성쉐르빌)",7071.0,씨유보라매이글점,편의점,193153.177,443251.1214,,,서울특별시 동작구 신대방동 395-66 보라매삼성쉐르빌,37.4913872,126.9233963
1,영업/정상,153-801,서울특별시 금천구 가산동 140-30,"서울특별시 금천구 디지털로 204, 1층 (가산동)",8515.0,씨유(CU)금천디지털점,편의점,190128.8576,441826.0396,,,서울특별시 금천구 가산동 140-30,37.4785671,126.8891893
1,영업/정상,153-768,서울특별시 금천구 가산동 550-1 IT캐슬,"서울특별시 금천구 가산디지털2로 98, IT캐슬 1층 113호 (가산동)",8506.0,세븐일레븐 가산캐슬점,편의점,189369.5396,441629.3614,,,서울특별시 금천구 가산동 550-1 IT캐슬,37.4767866,126.8806076
1,영업/정상,120-800,서울특별시 서대문구 남가좌동 5-74 지하1층 2호,"서울특별시 서대문구 명지대3길 42-1, 지하1층 2호 (남가좌동)",3672.0,이마트24 명지대길점,편의점,192980.4191,453297.2847,,,서울특별시 서대문구 남가좌동 5-74 지하1층 2호,37.5819485,126.9213174
1,영업/정상,143-845,서울특별시 광진구 자양동 99-2 뚝섬 3호 매점 1층,"서울특별시 광진구 강변북로 2180, 뚝섬 3호 매점 1층 (자양동)",,세븐일레븐한강뚝섬3호점,편의점,205519.9078,447652.7954,,02-3437-8385,서울특별시 광진구 자양동 99-2 뚝섬 3호 매점 1층,37.5311034,127.0632382
1,영업/정상,135-841,서울특별시 강남구 대치동 910 우일빌딩,"서울특별시 강남구 역삼로 428, 지상1층 101호 (대치동)",6200.0,세븐일레븐 대치역삼로점,편의점,204698.3666,444342.5493,,02-3284-8112,서울특별시 강남구 대치동 910 우일빌딩,37.5068204,127.0622577
1,영업/정상,134846,서울특별시 강동구 성내동 442-0번지 (1층),"서울특별시 강동구 강동대로53길 22 (성내동,(1층))",5408.0,씨유성내중앙점,편의점,211603.7339,446841.1608,,02-485-9505,서울특별시 강동구 성내동 442-0번지 (1층),37.5237346,127.1320551
1,영업/정상,156-841,서울특별시 동작구 상도동 211-225,"서울특별시 동작구 양녕로28길 4, 1층 (상도동)",7036.0,씨유 상도약수점,편의점,195006.4784,444095.5861,,,서울특별시 동작구 상도동 211-225,37.49905529999999,126.9443183
1,영업/정상,133-801,서울특별시 성동구 금호동1가 1800,"서울특별시 성동구 금호로 64, 2층 (금호동1가)",4718.0,씨유 뉴금호삼성점,편의점,202245.2983,449647.956,,,서울특별시 성동구 금호동1가 1800,37.5490931,127.0261966
1,영업/정상,132-853,서울특별시 도봉구 방학동 701-4,"서울특별시 도봉구 방학로4길 72, 1층 (방학동)",1339.0,이마트24 R방학파스텔점,편의점,203363.8702,462638.4276,,,서울특별시 도봉구 방학동 701-4,37.6661317,127.0389133
1,영업/정상,135-826,서울특별시 강남구 논현동 175-1,"서울특별시 강남구 논현로 639, 지상1층 (논현동)",6117.0,세븐일레븐 논현힐탑점,편의점,202765.41,445373.12,,02-3284-8112,서울특별시 강남구 논현동 175-1,37.5105758,127.0320667
1,영업/정상,132-861,서울특별시 도봉구 쌍문동 59 한양2차아파트,"서울특별시 도봉구 해등로 229, 한양2차아파트 상가동 B1층 (쌍문동)",1430.0,지에스(GS)25 쌍문프리미엄점,편의점,202694.4521,461628.9974,,,서울특별시 도봉구 쌍문동 59 한양2차아파트,37.6577229,127.0297243
1,영업/정상,121-805,서울특별시 마포구 공덕동 469 래미안 공덕5차,"서울특별시 마포구 마포대로 173-15, 상가동 지5층 104호 (공덕동, 래미안 공덕5차)",4131.0,세븐일레븐 공덕래미안점,편의점,195704.7735,449831.362,,,서울특별시 마포구 공덕동 469 래미안 공덕5차,37.5504108,126.9525412
1,영업/정상,100-110,서울특별시 중구 서소문동 143,"서울특별시 중구 서소문로 124, 지하1층 B101호 (서소문동)",4514.0,GS25 씨티스퀘어점,편의점,197739.8035,451200.497,,,서울특별시 중구 서소문동 143,37.563081,126.9752063
1,영업/정상,139-240,서울특별시 노원구 공릉동 750 녹주아파트,"서울특별시 노원구 동일로177길 29, 1층 (공릉동, 녹주아파트)",1859.0,씨유 공릉녹주점,편의점,206354.7465,457568.7439,,,서울특별시 노원구 공릉동 750 녹주아파트,37.6205021,127.0727921
1,영업/정상,100-888,서울특별시 중구 신당동 228-3,"서울특별시 중구 퇴계로 352-1, 1층 (신당동)",4612.0,씨유 동대문공원역점,편의점,200882.3454,451362.9692,,,서울특별시 중구 신당동 228-3,37.5645475,127.010775
1,영업/정상,139-847,서울특별시 노원구 월계동 635-4 그랑디오피스텔,"서울특별시 노원구 월계로 334, 1층 103호 (월계동, 그랑디오피스텔)",1885.0,GS25 월계대양점,편의점,205030.2328,458501.1543,,,서울특별시 노원구 월계동 635-4 그랑디오피스텔,37.62888969999999,127.0575433
1,영업/정상,157-910,서울특별시 강서구 화곡동 933-40 1층,"서울특별시 강서구 월정로 88, 1층 (화곡동)",7780.0,세븐일레븐 화곡우정점,기타 휴게음식점,185800.8527,447239.554,,,서울특별시 강서구 화곡동 933-40 1층,37.527286,126.8401537
1,영업/정상,156-710,서울특별시 동작구 신대방동 395-68 보라매나산스위트,"서울특별시 동작구 보라매로5가길 24, 업무동 1층 102호 (신대방동, 보라매나산스위트)",7071.0,씨유 보라매타운점,편의점,193204.7822,443168.5136,,02-832-1760,서울특별시 동작구 신대방동 395-68 보라매나산스위트,37.4905172,126.9239177
1,영업/정상,135-832,서울특별시 강남구 논현동 246-3 동인빌딩,"서울특별시 강남구 언주로130길 18, 동인빌딩 지하1층 (논현동)",6098.0,GS25 논현파라곤점,편의점,203195.205,445861.19,,,서울특별시 강남구 논현동 246-3 동인빌딩,37.5161252,127.0294659
1,영업/정상,152-858,서울특별시 구로구 구로동 481-7 대흥빌딩,"서울특별시 구로구 구로동로 203, 대흥빌딩 2층 201,202호 (구로동)",8281.0,씨유 구로유앤미점,편의점,189521.9917,443841.8068,,,서울특별시 구로구 구로동 481-7 대흥빌딩,37.4968194,126.8822586
1,영업/정상,143-902,서울특별시 광진구 중곡동 290-1 101호,"서울특별시 광진구 용마산로 183, 1층 101호 (중곡동)",4903.0,이마트24중곡용마로점,편의점,207517.2327,451973.4103,,,서울특별시 광진구 중곡동 290-1 101호,37.5700177,127.085879
